sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
"He is old, and she is old too.",old-young,n,pp,n,mf,1.935157776,3.11398983,88.87055969,29.45623016
"He is young, and she is young too.",old-young,n,mm,n,mf,2.106330872,2.676040649,97.28171539,27.5070076
"He is old, and she is young too.",old-young,n,pm,n,mf,24.69397354,12.76307201,97.39870453,30.01311874
"He is young, and she is old too.",old-young,n,mp,n,mf,29.21622086,13.654809,100.4255981,31.11930084
"He is not old, and she is old too.",old-young,n,pp,y,mf,17.26358414,12.50415134,76.5999527,35.05179977
"He is not young, and she is young too.",old-young,n,mm,y,mf,18.25980759,11.74020195,72.82875061,33.94572449
"He is not old, and she is young too.",old-young,n,pm,y,mf,18.30357361,13.05205441,77.1913147,33.68924332
"He is not young, and she is old too.",old-young,n,mp,y,mf,19.68573761,16.41309738,87.46389771,36.31789398
"She is old, and he is old too.",old-young,n,pp,n,fm,1.770401001,2.958969116,79.35835266,28.85183144
"She is young, and he is young too.",old-young,n,mm,n,fm,2.153846741,2.454997063,94.02655792,27.46923447
"She is old, and he is young too.",old-young,n,pm,n,fm,26.28116989,12.9330759,111.4069366,29.03026199
"She is young, and he is old too.",old-young,n,mp,n,fm,28.04686737,11.58280849,104.1539459,29.23162079
"She is not old, and he is old too.",old-young,n,pp,y,fm,17.49280167,11.72552872,82.99787903,35.11134338
"She is not young, and he is young too.",old-young,n,mm,y,fm,19.75973892,10.76525784,85.63754272,34.25570297
"She is not old, and he is young too.",old-young,n,pm,y,fm,19.62085342,13.54665947,93.15453339,33.96676636
"She is not young, and he is old too.",old-young,n,mp,y,fm,19.79192734,13.96393394,92.47220612,36.21994019
"He is quiet, and she is quiet too.",quiet-restless,n,pp,n,mf,1.541030884,2.971209526,84.18800354,29.41684341
"He is restless, and she is restless too.",quiet-restless,n,mm,n,mf,2.03767395,2.602374077,103.4238892,30.70562363
"He is quiet, and she is restless too.",quiet-restless,n,pm,n,mf,37.09873962,19.88607979,94.39907837,37.67211151
"He is restless, and she is quiet too.",quiet-restless,n,mp,n,mf,34.65985107,21.10878563,100.875885,38.06496429
"He is not quiet, and she is quiet too.",quiet-restless,n,pp,y,mf,18.42152023,10.96842289,84.17950439,33.69338989
"He is not restless, and she is restless too.",quiet-restless,n,mm,y,mf,21.35921478,17.62328625,93.16879272,42.29695892
"He is not quiet, and she is restless too.",quiet-restless,n,pm,y,mf,28.17907333,24.34529209,89.72595215,39.93130493
"He is not restless, and she is quiet too.",quiet-restless,n,mp,y,mf,26.75663376,22.44728088,92.84725189,44.73895264
"She is quiet, and he is quiet too.",quiet-restless,n,pp,n,fm,1.579704285,3.199884415,85.87799072,29.87524796
"She is restless, and he is restless too.",quiet-restless,n,mm,n,fm,1.948455811,2.400736809,95.54438782,29.88212776
"She is quiet, and he is restless too.",quiet-restless,n,pm,n,fm,38.5691452,19.92734814,90.29580688,37.03393555
"She is restless, and he is quiet too.",quiet-restless,n,mp,n,fm,36.0968132,21.33163261,105.9888687,36.65574646
"She is not quiet, and he is quiet too.",quiet-restless,n,pp,y,fm,18.6799469,11.01264286,84.50999451,34.77313232
"She is not restless, and he is restless too.",quiet-restless,n,mm,y,fm,22.19403839,16.98269176,94.55503082,41.7263298
"She is not quiet, and he is restless too.",quiet-restless,n,pm,y,fm,30.0039711,23.94257259,94.85932159,40.91698456
"She is not restless, and he is quiet too.",quiet-restless,n,mp,y,fm,27.51838303,23.39235115,94.27901459,43.33720398
"He is lucky, and she is lucky too.",lucky-unlucky,y,pp,n,mf,1.641304016,1.744259834,90.97715759,27.30297089
"He is unlucky, and she is unlucky too.",lucky-unlucky,y,mm,n,mf,2.757392883,2.290151596,127.2251434,31.65399933
"He is lucky, and she is unlucky too.",lucky-unlucky,y,pm,n,mf,21.47575378,2.850446701,109.2992859,31.41454697
"He is unlucky, and she is lucky too.",lucky-unlucky,y,mp,n,mf,15.69300079,4.382512093,107.9393463,30.70733643
"He is not lucky, and she is lucky too.",lucky-unlucky,y,pp,y,mf,16.40797806,13.7387228,84.50624084,35.02494431
"He is not unlucky, and she is unlucky too.",lucky-unlucky,y,mm,y,mf,15.96849823,7.021034241,133.8029175,40.46892166
"He is not lucky, and she is unlucky too.",lucky-unlucky,y,pm,y,mf,9.633216858,6.604747772,117.7363663,37.13126373
"He is not unlucky, and she is lucky too.",lucky-unlucky,y,mp,y,mf,17.63215256,7.539504051,108.9499664,38.21670532
"She is lucky, and he is lucky too.",lucky-unlucky,y,pp,n,fm,1.895767212,1.770158768,85.65940094,27.16116905
"She is unlucky, and he is unlucky too.",lucky-unlucky,y,mm,n,fm,3.114242554,2.37092495,116.2949371,32.02416611
"She is lucky, and he is unlucky too.",lucky-unlucky,y,pm,n,fm,22.31780243,2.850707054,105.3568497,32.06433868
"She is unlucky, and he is lucky too.",lucky-unlucky,y,mp,n,fm,17.56941605,4.235682487,106.2983246,30.45920944
"She is not lucky, and he is lucky too.",lucky-unlucky,y,pp,y,fm,16.63789749,13.456213,83.29078674,35.72172928
"She is not unlucky, and he is unlucky too.",lucky-unlucky,y,mm,y,fm,15.79495621,7.124033928,121.3688965,41.53385544
"She is not lucky, and he is unlucky too.",lucky-unlucky,y,pm,y,fm,11.49950027,6.707841873,116.8664246,38.70399475
"She is not unlucky, and he is lucky too.",lucky-unlucky,y,mp,y,fm,18.06243515,7.728602409,108.0032043,38.89041901
"He is tall, and she is tall too.",tall-short,n,pp,n,mf,2.019813538,1.79287529,81.00624847,29.04057312
"He is short, and she is short too.",tall-short,n,mm,n,mf,1.799583435,3.661869049,86.90203857,29.59807777
"He is tall, and she is short too.",tall-short,n,pm,n,mf,17.13444519,7.780255318,81.29120636,31.74213409
"He is short, and she is tall too.",tall-short,n,mp,n,mf,19.41718292,9.787037849,84.95326233,30.51612282
"He is not tall, and she is tall too.",tall-short,n,pp,y,mf,15.87192917,10.76301575,88.32929993,34.18853378
"He is not short, and she is short too.",tall-short,n,mm,y,mf,12.45885086,10.88683701,77.23565674,37.44505692
"He is not tall, and she is short too.",tall-short,n,pm,y,mf,14.04978561,9.98898983,85.58488464,36.04376984
"He is not short, and she is tall too.",tall-short,n,mp,y,mf,23.3442955,11.17456436,83.24316406,36.13064957
"She is tall, and he is tall too.",tall-short,n,pp,n,fm,2.039001465,1.690317154,91.64323425,27.55119324
"She is short, and he is short too.",tall-short,n,mm,n,fm,1.790649414,3.237078667,93.83457947,30.02638245
"She is tall, and he is short too.",tall-short,n,pm,n,fm,18.8188591,7.583561897,90.48509216,30.03985977
"She is short, and he is tall too.",tall-short,n,mp,n,fm,19.1315918,8.039880753,91.28587341,29.84342003
"She is not tall, and he is tall too.",tall-short,n,pp,y,fm,15.62879562,10.04064941,89.03620911,34.02849579
"She is not short, and he is short too.",tall-short,n,mm,y,fm,12.89213943,9.663722992,82.18336487,36.75385284
"She is not tall, and he is short too.",tall-short,n,pm,y,fm,15.36642456,9.692269325,88.40696716,36.2814827
"She is not short, and he is tall too.",tall-short,n,mp,y,fm,24.51296997,9.33881855,91.14596558,34.87492371
"He is nice, and she is nice too.",nice-nasty,n,pp,n,mf,1.57283783,3.092407227,97.15119934,29.55271149
"He is nasty, and she is nasty too.",nice-nasty,n,mm,n,mf,3.18321991,3.869958878,98.01635742,33.58109665
"He is nice, and she is nasty too.",nice-nasty,n,pm,n,mf,30.20154953,23.35972404,99.99464417,36.11151505
"He is nasty, and she is nice too.",nice-nasty,n,mp,n,mf,26.44220352,20.03051376,106.0695496,35.3780899
"He is not nice, and she is nice too.",nice-nasty,n,pp,y,mf,20.58217239,16.81978035,86.90451813,35.92731094
"He is not nasty, and she is nasty too.",nice-nasty,n,mm,y,mf,24.00853729,19.62136078,83.22418213,41.96378326
"He is not nice, and she is nasty too.",nice-nasty,n,pm,y,mf,18.95034027,22.82019663,86.47891235,38.10425186
"He is not nasty, and she is nice too.",nice-nasty,n,mp,y,mf,19.04018402,25.47794914,91.42454529,40.05488586
"She is nice, and he is nice too.",nice-nasty,n,pp,n,fm,1.861328125,3.289588928,87.2769928,29.10960007
"She is nasty, and he is nasty too.",nice-nasty,n,mm,n,fm,3.543228149,4.676496506,94.3176651,33.05947495
"She is nice, and he is nasty too.",nice-nasty,n,pm,n,fm,31.80815125,22.66139793,89.51528168,35.95572662
"She is nasty, and he is nice too.",nice-nasty,n,mp,n,fm,28.17711258,20.52176189,95.02079773,35.18980026
"She is not nice, and he is nice too.",nice-nasty,n,pp,y,fm,21.72660446,17.07400894,88.44127655,36.36433411
"She is not nasty, and he is nasty too.",nice-nasty,n,mm,y,fm,25.13703156,20.18488121,96.8603363,42.50745773
"She is not nice, and he is nasty too.",nice-nasty,n,pm,y,fm,20.50015259,23.54314613,86.43365479,38.6805191
"She is not nasty, and he is nice too.",nice-nasty,n,mp,y,fm,19.58226395,25.67424726,93.05859375,40.14962769
"He is nice, and she is nice too.",nice-mean,n,pp,n,mf,1.57283783,3.092407227,97.15119934,29.55271149
"He is mean, and she is mean too.",nice-mean,n,mm,n,mf,2.890205383,3.400932312,96.67262268,32.46552277
"He is nice, and she is mean too.",nice-mean,n,pm,n,mf,32.22769928,23.0251174,102.1702805,36.22299576
"He is mean, and she is nice too.",nice-mean,n,mp,n,mf,26.62609482,22.28252697,88.25152588,35.26802444
"He is not nice, and she is nice too.",nice-mean,n,pp,y,mf,20.58217239,16.81978035,86.90451813,35.92731094
"He is not mean, and she is mean too.",nice-mean,n,mm,y,mf,19.62675858,15.45254326,84.75169373,38.74534607
"He is not nice, and she is mean too.",nice-mean,n,pm,y,mf,20.0430069,22.7634201,79.74029541,39.0175972
"He is not mean, and she is nice too.",nice-mean,n,mp,y,mf,15.31111145,21.83135319,92.61177063,38.02259064
"She is nice, and he is nice too.",nice-mean,n,pp,n,fm,1.861328125,3.289588928,87.2769928,29.10960007
"She is mean, and he is mean too.",nice-mean,n,mm,n,fm,3.393596649,3.555778503,93.19859314,32.48365784
"She is nice, and he is mean too.",nice-mean,n,pm,n,fm,33.16081238,23.51158714,92.87103271,35.81325912
"She is mean, and he is nice too.",nice-mean,n,mp,n,fm,27.41991806,21.51280546,78.29582214,35.23936844
"She is not nice, and he is nice too.",nice-mean,n,pp,y,fm,21.72660446,17.07400894,88.44127655,36.36433411
"She is not mean, and he is mean too.",nice-mean,n,mm,y,fm,20.12098694,15.4180069,85.49863434,40.01617432
"She is not nice, and he is mean too.",nice-mean,n,pm,y,fm,21.49879074,22.94664574,84.65434265,39.44138336
"She is not mean, and he is nice too.",nice-mean,n,mp,y,fm,16.81282806,21.70135021,86.60598755,38.72686768
