sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_sentence_surprisal,xlnet_large_cased_sentence_surprisal,bert_large_cased_sentence_surprisal,roberta_large_sentence_surprisal
He is old means that he is old.,old-young,n,pp,n,mf,30.63500023,83.74331665,10.93088245,15.95607758
He is young means that he is young.,old-young,n,mm,n,mf,33.35147476,81.81515503,12.58486938,16.58770752
He is old means that he is young.,old-young,n,pm,n,mf,33.51815796,75.67071533,18.51096487,23.76667786
He is young means that he is old.,old-young,n,mp,n,mf,34.86151123,84.68733215,18.54529858,24.08509827
He is not old means that he is old.,old-young,n,pp,y,mf,35.61815643,88.31254578,15.16166735,17.38506699
He is not young means that he is young.,old-young,n,mm,y,mf,37.00823975,89.87715149,14.77102613,21.1139679
He is not old means that he is young.,old-young,n,pm,y,mf,33.44025803,87.22941589,16.14915943,15.81029129
He is not young means that he is old.,old-young,n,mp,y,mf,34.81178665,90.61016846,17.48890114,15.86708832
She is old means that she is old.,old-young,n,pp,n,fm,32.10208511,83.4303894,11.75353956,14.98573303
She is young means that she is young.,old-young,n,mm,n,fm,33.82675934,78.61880493,13.70925903,16.70242691
She is old means that she is young.,old-young,n,pm,n,fm,34.28630066,75.11761475,19.19869661,24.24742508
She is young means that she is old.,old-young,n,mp,n,fm,34.76015472,87.95321655,19.97414064,24.258358
She is not old means that she is old.,old-young,n,pp,y,fm,36.06329727,87.63614655,16.22869062,17.56082153
She is not young means that she is young.,old-young,n,mm,y,fm,37.07049942,84.7848053,15.32015276,20.47509766
She is not old means that she is young.,old-young,n,pm,y,fm,33.88794708,89.09514618,16.24672604,16.32829285
She is not young means that she is old.,old-young,n,mp,y,fm,35.32656097,85.79873657,17.54567766,15.73074341
He is quiet means that he is quiet.,quiet-restless,n,pp,n,mf,33.48221588,77.29760742,16.63189411,15.55352402
He is restless means that he is restless.,quiet-restless,n,mm,n,mf,34.04175949,88.84188843,9.581082821,14.11574173
He is quiet means that he is restless.,quiet-restless,n,pm,n,mf,38.71356964,89.57693481,23.67126894,25.25857162
He is restless means that he is quiet.,quiet-restless,n,mp,n,mf,39.96006012,81.25669861,23.33401012,30.66958618
He is not quiet means that he is quiet.,quiet-restless,n,pp,y,mf,35.32562256,89.71363831,16.84053802,17.81138992
He is not restless means that he is restless.,quiet-restless,n,mm,y,mf,43.9884491,99.2414093,19.14362431,16.32518768
He is not quiet means that he is restless.,quiet-restless,n,pm,y,mf,38.76085281,85.88009644,22.11585808,24.90880585
He is not restless means that he is quiet.,quiet-restless,n,mp,y,mf,42.05486298,100.3535385,23.38751984,27.42726517
