sentence,adjectives,transparency,polarity,negation,gender,roberta_large_surprisal,bert_large_cased_surprisal,xlnet_large_cased_surprisal,gpt2_large_surprisal
He is old. She too is old.,old-young,n,pp,n,mf,-1.31866455078125;-0.151153564453125;-0.11454010009765625;-0.01074981689453125;-1.8240814208984375;-0.5902786254882812;-0.03520965576171875;-0.03604888916015625;-0.01242828369140625,-1.741196632385254;-0.0842742919921875;-0.0718088150024414;-0.022821426391601562;-1.6471071243286133;-4.231638431549072;-0.016717910766601562;-0.19522476196289062;-0.012666702270507812,0.0;-9.22275161743164;-19.063583374023438;-9.429756164550781;-4.885101318359375;-19.96490478515625;-3.739320755004883;-12.576446533203125;-6.2468719482421875,0.0;-3.1556758880615234;-8.229665756225586;-2.3807621002197266;-5.463903427124023;-7.690434455871582;-0.8459072113037109;-0.5886135101318359;-0.6200046539306641
He is young. She too is young.,old-young,n,mm,n,mf,-0.9574241638183594;-0.12964630126953125;-0.0731048583984375;-0.005157470703125;-1.4585342407226562;-0.8915176391601562;-0.057830810546875;-0.02878570556640625;-0.00937652587890625,-1.4751691818237305;-0.10953712463378906;-0.1720104217529297;-0.023926734924316406;-1.3247547149658203;-3.5569915771484375;-0.01898193359375;-0.12738513946533203;-0.016984939575195312,0.0;-8.529556274414062;-14.3896484375;-8.050971984863281;-6.161762237548828;-22.866153717041016;-4.213462829589844;-14.213821411132812;-5.2235107421875,0.0;-3.1556758880615234;-7.589898586273193;-2.7398509979248047;-5.959819793701172;-7.7818989753723145;-0.6733427047729492;-0.7416591644287109;-0.6093969345092773
He is old. She too is young.,old-young,n,pm,n,mf,-1.9948616027832031;-0.159027099609375;-5.100406646728516;-0.0167083740234375;-1.4695587158203125;-3.2584152221679688;-0.140167236328125;-5.634120941162109;-0.01561737060546875,-1.6858062744140625;-0.07493019104003906;-3.9248170852661133;-0.019655227661132812;-1.4253997802734375;-4.3309783935546875;-0.02529144287109375;-3.3471202850341797;-0.014865875244140625,0.0;-10.015846252441406;-19.617576599121094;-5.535539627075195;-5.874610900878906;-18.514694213867188;-5.9228668212890625;-10.299247741699219;-7.160503387451172,0.0;-3.1556758880615234;-8.229665756225586;-2.3807621002197266;-5.463903427124023;-7.690434455871582;-0.8459072113037109;-4.093786239624023;-0.6127891540527344
He is young. She too is old.,old-young,n,mp,n,mf,-3.9565887451171875;-0.1618499755859375;-5.7854461669921875;-0.014312744140625;-1.9975967407226562;-3.3059005737304688;-0.087554931640625;-5.598926544189453;-0.01415252685546875,-2.00130558013916;-0.11780548095703125;-5.166545867919922;-0.023710250854492188;-1.6040019989013672;-4.287966728210449;-0.018434524536132812;-4.526871681213379;-0.013971328735351562,0.0;-6.611351013183594;-18.254425048828125;-6.935077667236328;-6.478366851806641;-19.631305694580078;-7.5603179931640625;-9.175018310546875;-8.4566650390625,0.0;-3.1556758880615234;-7.589898586273193;-2.7398509979248047;-5.959819793701172;-7.7818989753723145;-0.6733427047729492;-4.698829174041748;-0.6913423538208008
He is not old. She too is old.,old-young,n,pp,y,mf,-2.9847564697265625;-0.183380126953125;-4.327537536621094;-2.1910743713378906;-0.0157928466796875;-3.3568153381347656;-2.5884552001953125;-0.08579254150390625;-0.7513504028320312;-0.02532196044921875,-2.154407501220703;-0.049591064453125;-4.306825637817383;-1.1947031021118164;-0.024941444396972656;-2.25492000579834;-3.447111129760742;-0.03424358367919922;-1.4024085998535156;-0.020893096923828125,0.0;-12.597064971923828;-8.093206405639648;-11.017250061035156;-5.424907684326172;-4.56190299987793;-16.611400604248047;-7.210643768310547;-14.718849182128906;-7.4070281982421875,0.0;-3.1556758880615234;-2.8939313888549805;-7.431295394897461;-2.497086524963379;-5.464650630950928;-7.936844825744629;-0.9194250106811523;-3.5647830963134766;-0.9128007888793945
He is not young. She too is young.,old-young,n,mm,y,mf,-2.7470474243164062;-0.188507080078125;-4.67633056640625;-2.2102317810058594;-0.0103912353515625;-2.555511474609375;-3.16766357421875;-0.28464508056640625;-2.1127357482910156;-0.02312469482421875,-1.906529426574707;-0.03313446044921875;-4.540074348449707;-1.9831514358520508;-0.025514602661132812;-1.845686912536621;-2.768496513366699;-0.04046630859375;-0.3569812774658203;-0.025533676147460938,0.0;-13.868675231933594;-10.36880874633789;-8.549215316772461;-6.009674072265625;-5.7177276611328125;-16.91208267211914;-6.050893783569336;-16.376495361328125;-8.215385437011719,0.0;-3.1556758880615234;-2.8939313888549805;-8.139508247375488;-1.9237556457519531;-5.702772617340088;-8.121801376342773;-0.9530420303344727;-3.656003475189209;-0.9527177810668945
He is not old. She too is young.,old-young,n,pm,y,mf,-5.077098846435547;-0.1810302734375;-0.6698799133300781;-1.9547691345214844;-0.00922393798828125;-5.915767669677734;-1.6692848205566406;-0.142364501953125;-1.4938507080078125;-0.01992034912109375,-2.989081382751465;-0.028299331665039062;-3.6184301376342773;-3.2837486267089844;-0.020494461059570312;-2.761890411376953;-3.28481388092041;-0.03473377227783203;-0.9685478210449219;-0.022691726684570312,0.0;-12.557548522949219;-9.421578407287598;-8.782638549804688;-7.658393859863281;-5.268047332763672;-16.398883819580078;-8.168415069580078;-8.676324844360352;-7.208000183105469,0.0;-3.1556758880615234;-2.8939313888549805;-7.431295394897461;-2.497086524963379;-5.464650630950928;-7.936844825744629;-0.9194250106811523;-2.4714088439941406;-0.9857053756713867
He is not young. She too is old.,old-young,n,mp,y,mf,-5.230472564697266;-0.1744384765625;-1.9951667785644531;-2.3498268127441406;-0.006683349609375;-5.5789031982421875;-1.0225143432617188;-0.07573699951171875;-0.49139404296875;-0.0195159912109375,-3.708765983581543;-0.04085350036621094;-4.443800926208496;-3.284438133239746;-0.0190887451171875;-3.616518020629883;-3.3138771057128906;-0.02939319610595703;-3.045625686645508;-0.02124786376953125,0.0;-11.43265151977539;-9.850566864013672;-9.455078125;-6.40699577331543;-4.930217742919922;-16.64413833618164;-8.739540100097656;-11.561294555664062;-7.205364227294922,0.0;-3.1556758880615234;-2.8939313888549805;-8.139508247375488;-1.9237556457519531;-5.702772617340088;-8.121801376342773;-0.9530420303344727;-3.3601131439208984;-0.9640331268310547
She is old. He too is old.,old-young,n,pp,n,fm,-2.512035369873047;-0.15139007568359375;-0.1552276611328125;-0.0080108642578125;-0.44879150390625;-0.4915771484375;-0.04457855224609375;-0.0347900390625;-0.0128173828125,-1.9366788864135742;-0.09044647216796875;-0.10672473907470703;-0.022123336791992188;-1.608407974243164;-3.5718984603881836;-0.012483596801757812;-0.20441722869873047;-0.011991500854492188,0.0;-4.6252593994140625;-7.944446563720703;-7.292793273925781;-12.307319641113281;-11.712188720703125;-4.382915496826172;-8.935356140136719;-4.304161071777344,0.0;-3.225691318511963;-8.371822357177734;-2.5362329483032227;-5.205204963684082;-8.002267837524414;-0.8556423187255859;-0.5644865036010742;-0.6538238525390625
She is young. He too is young.,old-young,n,mm,n,fm,-2.0931243896484375;-0.13690185546875;-0.03525543212890625;-0.003143310546875;-0.3739166259765625;-0.7677001953125;-0.0634307861328125;-0.0413818359375;-0.01016998291015625,-1.3724098205566406;-0.10156822204589844;-0.18772506713867188;-0.024425506591796875;-1.159276008605957;-2.2084312438964844;-0.015939712524414062;-0.20155715942382812;-0.014739990234375,0.0;-10.579887390136719;-14.0166015625;-8.719306945800781;-3.4618492126464844;-20.44598388671875;-3.928508758544922;-12.44903564453125;-8.270790100097656,0.0;-3.225691318511963;-7.160595417022705;-2.7314624786376953;-5.53167724609375;-8.038488388061523;-0.6131906509399414;-0.5758800506591797;-0.6209211349487305
