sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
"He is old, and she is old too.",old-young,n,pp,n,mf,0.0;-3.1556758880615234;-9.622624397277832;-1.7230396270751953;-6.450644493103027;-0.8718700408935547;-2.737118721008301;-3.8040771484375;-1.0911779403686523,0.0;-9.997173309326172;-12.930486679077148;-2.9551868438720703;-4.874547958374023;-7.237651824951172;-10.66927719116211;-6.045024871826172;-7.9193115234375,-0.4981575012207031;-0.03244590759277344;-0.34626102447509766;-0.3241395950317383;-0.8302059173583984;-0.011045455932617188;-0.046769142150878906;-0.9999656677246094;-0.024999618530273438,-0.08029937744140625;-0.10015869140625;-0.4869842529296875;-0.3368072509765625;-0.23514556884765625;-0.081695556640625;-0.32775115966796875;-0.224273681640625;-0.062042236328125
"He is young, and she is young too.",old-young,n,mm,n,mf,0.0;-3.1556758880615234;-8.44277048110962;-2.22314453125;-6.28560209274292;-0.9903774261474609;-1.9061880111694336;-3.534518241882324;-0.9687309265136719,0.0;-10.428777694702148;-14.130548477172852;-3.280285358428955;-7.420339584350586;-8.003799438476562;-12.97732162475586;-7.419164657592773;-7.754858016967773,-0.36774539947509766;-0.06904220581054688;-0.2821340560913086;-0.4636039733886719;-0.6345291137695312;-0.018014907836914062;-0.25124645233154297;-0.5617399215698242;-0.027984619140625,-0.122161865234375;-0.0820159912109375;-0.22336578369140625;-0.7784652709960938;-0.2902679443359375;-0.09716796875;-0.34471893310546875;-0.12874603271484375;-0.03942108154296875
"He is old, and she is young too.",old-young,n,pm,n,mf,0.0;-3.1556758880615234;-9.622624397277832;-1.7230396270751953;-6.450644493103027;-0.8718700408935547;-0.6890230178833008;-6.3875532150268555;-1.1126861572265625,0.0;-10.871383666992188;-12.244083404541016;-2.7962417602539062;-6.906573295593262;-8.035959243774414;-8.203876495361328;-7.875953674316406;-7.788394927978516,-0.3625364303588867;-0.026285171508789062;-4.268466949462891;-0.5744190216064453;-0.5438451766967773;-0.016748428344726562;-5.847107887268066;-1.1005058288574219;-0.023157119750976562,-3.8042984008789062;-0.10711669921875;-5.4836883544921875;-1.3797454833984375;-3.1736526489257812;-0.159210205078125;-6.109577178955078;-4.413749694824219;-0.06293487548828125
"He is young, and she is old too.",old-young,n,mp,n,mf,0.0;-3.1556758880615234;-8.44277048110962;-2.22314453125;-6.28560209274292;-0.9903774261474609;-1.9818964004516602;-7.0743608474731445;-0.9654760360717773,0.0;-9.137474060058594;-9.740579605102539;-4.3329925537109375;-9.066088676452637;-10.08448600769043;-12.003713607788086;-6.977235794067383;-8.783910751342773,-0.30478382110595703;-0.061405181884765625;-6.149676322937012;-0.5497665405273438;-0.6510686874389648;-0.020641326904296875;-4.2336931228637695;-1.6591997146606445;-0.02457427978515625,-5.455196380615234;-0.12218475341796875;-5.867282867431641;-1.5513076782226562;-5.436767578125;-0.13022613525390625;-6.202117919921875;-4.393184661865234;-0.057952880859375
"He is not old, and she is old too.",old-young,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.185147285461426;-2.136286735534668;-6.170273780822754;-1.0015363693237305;-4.901675224304199;-4.575278282165527;-1.0319929122924805,0.0;-6.923305511474609;-2.058361053466797;-9.069192886352539;-3.3479843139648438;-6.639196395874023;-5.4052734375;-6.7643890380859375;-6.892023086547852;-3.9558658599853516,-0.5533523559570312;-0.0296173095703125;-5.003657341003418;-1.0399761199951172;-0.8173189163208008;-1.1743412017822266;-0.03389453887939453;-0.9370822906494141;-2.8843250274658203;-0.03058624267578125,-0.668792724609375;-0.19724273681640625;-6.171459197998047;-2.801647186279297;-1.4190444946289062;-1.230499267578125;-0.28224945068359375;-1.7512130737304688;-2.648365020751953;-0.09307098388671875
"He is not young, and she is young too.",old-young,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.498480796813965;-1.908853530883789;-6.077207565307617;-1.1197137832641602;-4.554448127746582;-3.871425151824951;-0.8659877777099609,0.0;-3.486135482788086;-2.4905805587768555;-8.243219375610352;-3.132781982421875;-7.251916885375977;-4.434131622314453;-6.535062789916992;-8.628211975097656;-4.869388580322266,-0.5264225006103516;-0.02353668212890625;-5.573692321777344;-1.510066032409668;-1.100111961364746;-1.0391845703125;-0.06087017059326172;-0.787816047668457;-1.0866317749023438;-0.03186988830566406,-0.47948455810546875;-0.161895751953125;-6.7346649169921875;-3.0919647216796875;-0.926666259765625;-0.7824859619140625;-0.47801971435546875;-2.1640892028808594;-3.3794479370117188;-0.06108856201171875
"He is not old, and she is young too.",old-young,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.185147285461426;-2.136286735534668;-6.170273780822754;-1.0015363693237305;-2.8407716751098633;-5.300410270690918;-1.0052080154418945,0.0;-3.7271156311035156;-2.8219451904296875;-10.26852798461914;-2.7703094482421875;-6.529380798339844;-4.993217468261719;-6.199733734130859;-8.391899108886719;-7.455575942993164,-0.6410551071166992;-0.016695022583007812;-4.227531433105469;-2.4499425888061523;-0.8054933547973633;-1.2459678649902344;-0.04574394226074219;-1.7424182891845703;-1.851766586303711;-0.025440216064453125,-5.391365051269531;-0.2014007568359375;-1.3765029907226562;-1.1120223999023438;-0.18636322021484375;-6.802055358886719;-0.2276763916015625;-1.3809852600097656;-1.5491981506347656;-0.0760040283203125
"He is not young, and she is old too.",old-young,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-9.498480796813965;-1.908853530883789;-6.077207565307617;-1.1197137832641602;-4.439752578735352;-6.334990501403809;-0.8892908096313477,0.0;-9.046150207519531;-3.826702117919922;-9.652437210083008;-2.8633346557617188;-7.515117645263672;-6.375480651855469;-6.556041717529297;-6.543766021728516;-7.527652740478516,-0.7054853439331055;-0.0243988037109375;-4.938089370727539;-3.284377098083496;-0.8633565902709961;-1.6941766738891602;-0.054047584533691406;-2.2102842330932617;-2.6098766326904297;-0.029005050659179688,-5.089031219482422;-0.204010009765625;-2.8265838623046875;-1.5300140380859375;-0.2803802490234375;-6.593086242675781;-0.172882080078125;-0.8139915466308594;-2.1097564697265625;-0.06600189208984375
"She is old, and he is old too.",old-young,n,pp,n,fm,0.0;-3.225691318511963;-9.933341979980469;-1.6895580291748047;-4.948944568634033;-1.150282859802246;-2.56691837310791;-4.2337212562561035;-1.1033763885498047,0.0;-3.9886474609375;-11.335525512695312;-6.258842468261719;-6.866706848144531;-5.906795501708984;-8.185920715332031;-3.846027374267578;-3.9089393615722656,-0.6038846969604492;-0.0431365966796875;-0.3474855422973633;-0.3250160217285156;-0.757197380065918;-0.01178741455078125;-0.05099296569824219;-0.7896490097045898;-0.029819488525390625,-0.11865997314453125;-0.0673370361328125;-0.266815185546875;-0.36937713623046875;-0.29268646240234375;-0.09281158447265625;-0.3214569091796875;-0.18479156494140625;-0.05646514892578125
"She is young, and he is young too.",old-young,n,mm,n,fm,0.0;-3.225691318511963;-7.9548869132995605;-2.158721923828125;-5.245845794677734;-1.1291627883911133;-2.848982810974121;-3.906956672668457;-0.9989852905273438,0.0;-6.887083053588867;-11.930267333984375;-4.698036193847656;-8.063667297363281;-8.860218048095703;-10.535897254943848;-6.581083297729492;-7.1176958084106445,-0.32573509216308594;-0.07575035095214844;-0.23907470703125;-0.5235414505004883;-0.5632791519165039;-0.019130706787109375;-0.22086048126220703;-0.4535808563232422;-0.03404426574707031,-0.15561676025390625;-0.06993865966796875;-0.1500091552734375;-0.774749755859375;-0.3425750732421875;-0.09942626953125;-0.41992950439453125;-0.1051788330078125;-0.0364227294921875
