sentence,adjectives,transparency,polarity,negation,gender,gpt2_large_surprisal,xlnet_large_cased_surprisal,bert_large_cased_surprisal,roberta_large_surprisal
He is old means that he is old.,old-young,n,pp,n,mf,0.0;-3.1556758880615234;-8.229665756225586;-12.254521369934082;-1.593790054321289;-0.5648832321166992;-1.196751594543457;-1.8457269668579102;-1.7939891815185547,0.0;-4.731697082519531;-10.020809173583984;-9.921424865722656;-3.079845428466797;-3.400238037109375;-6.632438659667969;-10.695247650146484;-5.4468994140625,-0.6899938583374023;-0.6193952560424805;-1.624861717224121;-6.676409721374512;-0.1604166030883789;-0.25368785858154297;-0.07436847686767578;-0.7015914916992188;-0.130157470703125,-0.7061080932617188;-0.7065238952636719;-1.9474029541015625;-10.401199340820312;-0.05739593505859375;-0.26812744140625;-0.0972900390625;-1.6546592712402344;-0.11737060546875
He is young means that he is young.,old-young,n,mm,n,mf,0.0;-3.1556758880615234;-7.589898586273193;-12.954513549804688;-1.4251642227172852;-0.5790576934814453;-1.3354415893554688;-4.1725358963012695;-2.139185905456543,0.0;-4.709384918212891;-7.784152984619141;-8.52768325805664;-3.8881149291992188;-2.2826881408691406;-5.873104095458984;-8.586639404296875;-5.743999481201172,-0.9688615798950195;-0.861851692199707;-1.789881706237793;-6.794924736022949;-0.28136730194091797;-0.39519500732421875;-0.1671600341796875;-1.1878347396850586;-0.13779258728027344,-0.5370407104492188;-0.5832862854003906;-2.063739776611328;-9.754806518554688;-0.06653594970703125;-0.29058074951171875;-0.196197509765625;-2.923980712890625;-0.171539306640625
He is old means that he is young.,old-young,n,pm,n,mf,0.0;-3.1556758880615234;-8.229665756225586;-12.254521369934082;-1.593790054321289;-0.5648832321166992;-1.196751594543457;-5.205597877502441;-1.317275047302246,0.0;-4.012149810791016;-7.935173034667969;-9.328163146972656;-3.1156539916992188;-3.2050094604492188;-5.235996246337891;-10.21462631225586;-4.421848297119141,-0.6509857177734375;-1.0006294250488281;-4.515105247497559;-6.9720587730407715;-0.1582489013671875;-0.42371273040771484;-0.1179056167602539;-4.559758186340332;-0.11256027221679688,-0.7191162109375;-0.72821044921875;-4.096229553222656;-11.00469970703125;-0.04320526123046875;-0.5083694458007812;-0.24956512451171875;-6.3003997802734375;-0.11688232421875
He is young means that he is old.,old-young,n,mp,n,mf,0.0;-3.1556758880615234;-7.589898586273193;-12.954513549804688;-1.4251642227172852;-0.5790576934814453;-1.3354415893554688;-6.286976337432861;-1.5347833633422852,0.0;-4.4538726806640625;-6.614593505859375;-7.838356018066406;-5.123256683349609;-3.9213638305664062;-6.909061431884766;-6.588653564453125;-6.653414726257324,-0.7436914443969727;-0.6552190780639648;-3.9290995597839355;-7.296000003814697;-0.15867996215820312;-0.35413169860839844;-0.03254127502441406;-5.262883186340332;-0.1130523681640625,-0.867401123046875;-0.8434410095214844;-5.274341583251953;-11.15020751953125;-0.0410919189453125;-0.5237350463867188;-0.05145263671875;-5.2135467529296875;-0.11988067626953125
He is not old means that he is old.,old-young,n,pp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-7.431295394897461;-12.45315933227539;-1.3802080154418945;-0.48729419708251953;-1.0336933135986328;-4.436982154846191;-2.3459157943725586,0.0;-3.199878692626953;-4.312431335449219;-6.740715026855469;-10.802459716796875;-4.381034851074219;-6.412525177001953;-4.522243499755859;-8.93008804321289;-5.813106536865234,-0.754939079284668;-0.06609439849853516;-2.9537391662597656;-1.8018922805786133;-7.319977283477783;-0.3120107650756836;-0.09702014923095703;-0.06884384155273438;-1.6722478866577148;-0.11490249633789062,-0.9563980102539062;-0.6295318603515625;-1.9625625610351562;-2.3411521911621094;-10.212024688720703;-0.05322265625;-0.05583953857421875;-0.04093170166015625;-0.9784965515136719;-0.1549072265625
He is not young means that he is young.,old-young,n,mm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-8.139508247375488;-12.47260856628418;-1.263650894165039;-0.632716178894043;-1.2229194641113281;-5.419411659240723;-1.8078184127807617,0.0;-3.7219619750976562;-3.0683822631835938;-8.729377746582031;-9.529232025146484;-4.919773101806641;-5.046916961669922;-4.913326263427734;-10.272171020507812;-5.373111724853516,-0.9133672714233398;-0.07892131805419922;-3.5967202186584473;-1.5781631469726562;-6.56845760345459;-0.4047260284423828;-0.1491413116455078;-0.24583148956298828;-1.1078577041625977;-0.1278400421142578,-0.8532791137695312;-0.386016845703125;-1.9649734497070312;-3.2220993041992188;-10.71731948852539;-0.08243560791015625;-0.07427215576171875;-0.0985260009765625;-3.526325225830078;-0.188720703125
He is not old means that he is young.,old-young,n,pm,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-7.431295394897461;-12.45315933227539;-1.3802080154418945;-0.48729419708251953;-1.0336933135986328;-3.2996416091918945;-1.30535888671875,0.0;-1.1823501586914062;-4.399566650390625;-7.303218841552734;-10.162837982177734;-4.5815887451171875;-6.988735198974609;-4.447956085205078;-9.40933609008789;-5.513782501220703,-0.6186161041259766;-0.05297565460205078;-3.085470199584961;-3.365774154663086;-6.885549545288086;-0.35677433013916016;-0.05577659606933594;-0.1275920867919922;-1.5000238418579102;-0.10060691833496094,-0.7718048095703125;-0.35546875;-0.3889007568359375;-2.7351417541503906;-9.22604751586914;-0.0786285400390625;-0.0168609619140625;-0.07477569580078125;-2.018413543701172;-0.14424896240234375
He is not young means that he is old.,old-young,n,mp,y,mf,0.0;-3.1556758880615234;-2.8939313888549805;-8.139508247375488;-12.47260856628418;-1.263650894165039;-0.632716178894043;-1.2229194641113281;-3.738724708557129;-1.29205322265625,0.0;-2.136219024658203;-4.021930694580078;-7.731067657470703;-8.976676940917969;-5.3763580322265625;-7.1345062255859375;-3.994983673095703;-9.91954231262207;-5.504417419433594,-0.7302188873291016;-0.04920482635498047;-3.0043869018554688;-3.158477783203125;-7.439393043518066;-0.2601127624511719;-0.03529834747314453;-0.03873920440673828;-2.673625946044922;-0.09944343566894531,-1.3663787841796875;-0.29648590087890625;-0.8334121704101562;-3.037677764892578;-9.720287322998047;-0.09062957763671875;-0.02175140380859375;-0.0347747802734375;-0.30352020263671875;-0.16217041015625
She is old means that she is old.,old-young,n,pp,n,fm,0.0;-3.225691318511963;-8.371822357177734;-12.615457534790039;-1.6703205108642578;-0.7702722549438477;-1.3541393280029297;-2.1760730743408203;-1.918309211730957,0.0;-4.976036071777344;-8.695995330810547;-9.331501007080078;-4.140033721923828;-2.618389129638672;-5.550132751464844;-10.268203735351562;-5.0409393310546875,-0.6284618377685547;-0.6960840225219727;-2.4078354835510254;-6.457475662231445;-0.15139484405517578;-0.4363737106323242;-0.08679580688476562;-0.7816200256347656;-0.1074981689453125,-0.324859619140625;-0.402099609375;-2.0481834411621094;-10.394474029541016;-0.05987548828125;-0.20201873779296875;-0.07706451416015625;-1.3830490112304688;-0.09410858154296875
She is young means that she is young.,old-young,n,mm,n,fm,0.0;-3.225691318511963;-7.160595417022705;-13.264910697937012;-1.2750797271728516;-0.75640869140625;-1.424046516418457;-4.466919898986816;-2.253110885620117,0.0;-4.695331573486328;-7.862377166748047;-8.732208251953125;-4.4314727783203125;-2.3378982543945312;-3.4803237915039062;-7.684116363525391;-5.232563018798828,-0.8506917953491211;-0.8879833221435547;-2.268716812133789;-6.693585395812988;-0.23819828033447266;-0.5849628448486328;-0.21753406524658203;-1.8399581909179688;-0.12762832641601562,-0.2861328125;-0.35860443115234375;-2.376720428466797;-9.744060516357422;-0.07904815673828125;-0.27191925048828125;-0.2059783935546875;-3.241107940673828;-0.13885498046875
She is old means that she is young.,old-young,n,pm,n,fm,0.0;-3.225691318511963;-8.371822357177734;-12.615457534790039;-1.6703205108642578;-0.7702722549438477;-1.3541393280029297;-4.818203926086426;-1.4603900909423828,0.0;-3.45648193359375;-7.642704010009766;-8.515087127685547;-3.9325942993164062;-3.624439239501953;-3.7516937255859375;-8.227439880371094;-4.482242584228516,-0.6382770538330078;-1.0843172073364258;-5.263339996337891;-6.812325954437256;-0.13180255889892578;-0.5976238250732422;-0.12436866760253906;-4.453568458557129;-0.09307289123535156,-0.322265625;-0.6507186889648438;-5.249492645263672;-11.213462829589844;-0.0373687744140625;-0.5813674926757812;-0.19031524658203125;-5.900970458984375;-0.10146331787109375
She is young means that she is old.,old-young,n,mp,n,fm,0.0;-3.225691318511963;-7.160595417022705;-13.264910697937012;-1.2750797271728516;-0.75640869140625;-1.424046516418457;-5.931558609008789;-1.7218637466430664,0.0;-5.574504852294922;-7.768604278564453;-10.420463562011719;-5.146938323974609;-3.7280426025390625;-4.743629455566406;-7.381092071533203;-5.551027297973633,-0.6886787414550781;-0.9272546768188477;-4.335538864135742;-7.183079719543457;-0.13634395599365234;-0.7400140762329102;-0.04457664489746094;-5.82926607131958;-0.08938789367675781,-0.37595367431640625;-0.7675933837890625;-5.364997863769531;-11.330631256103516;-0.03897857666015625;-0.5700531005859375;-0.0523681640625;-5.6629791259765625;-0.0948028564453125
She is not old means that she is old.,old-young,n,pp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-7.15364408493042;-12.810463905334473;-1.359640121459961;-0.6342706680297852;-1.0995159149169922;-4.384519100189209;-2.429248809814453,0.0;-2.9585914611816406;-3.8311996459960938;-9.647024154663086;-10.110715866088867;-5.834312438964844;-6.59013557434082;-4.172191619873047;-7.468496322631836;-5.240906715393066,-0.6487207412719727;-0.06997013092041016;-3.1065893173217773;-2.3294782638549805;-7.290070056915283;-0.28575992584228516;-0.15512752532958984;-0.0802316665649414;-2.1655406951904297;-0.09720230102539062,-0.2550811767578125;-0.7444229125976562;-2.1812171936035156;-2.758686065673828;-10.447208404541016;-0.0501251220703125;-0.05548858642578125;-0.041107177734375;-0.8996620178222656;-0.1278228759765625
She is not young means that she is young.,old-young,n,mm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-7.893599033355713;-12.95471477508545;-1.2826595306396484;-0.7703723907470703;-1.256937026977539;-4.9395318031311035;-1.7806901931762695,0.0;-3.783283233642578;-4.516420364379883;-8.507024765014648;-9.414119720458984;-6.492591857910156;-5.987936019897461;-5.136943817138672;-5.3954620361328125;-4.81934928894043,-0.7706661224365234;-0.07306766510009766;-3.447328567504883;-1.9517936706542969;-6.340203762054443;-0.3618307113647461;-0.22939014434814453;-0.26718711853027344;-1.7610454559326172;-0.11763954162597656,-0.36351776123046875;-0.49044036865234375;-1.8800544738769531;-3.0558204650878906;-10.914535522460938;-0.07918548583984375;-0.096466064453125;-0.108978271484375;-3.3234634399414062;-0.16263580322265625
She is not old means that she is young.,old-young,n,pm,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-7.15364408493042;-12.810463905334473;-1.359640121459961;-0.6342706680297852;-1.0995159149169922;-3.1873111724853516;-1.4511070251464844,0.0;-3.1960906982421875;-4.216156005859375;-8.901081085205078;-11.045074462890625;-6.966312408447266;-7.323833465576172;-5.916259765625;-4.875829696655273;-5.413092613220215,-0.5723810195922852;-0.056346893310546875;-3.1252946853637695;-3.5704288482666016;-6.729001998901367;-0.2900247573852539;-0.06563758850097656;-0.12790966033935547;-1.626856803894043;-0.08284378051757812,-0.16143798828125;-0.28876495361328125;-0.39534759521484375;-3.488727569580078;-9.509326934814453;-0.07471466064453125;-0.0142364501953125;-0.0781097412109375;-2.2035598754882812;-0.11406707763671875
She is not young means that she is old.,old-young,n,mp,y,fm,0.0;-3.225691318511963;-2.9663033485412598;-7.893599033355713;-12.95471477508545;-1.2826595306396484;-0.7703723907470703;-1.256937026977539;-3.6260194778442383;-1.3502616882324219,0.0;-3.519561767578125;-4.265380859375;-7.002492904663086;-9.85287857055664;-7.198753356933594;-7.166187286376953;-5.374469757080078;-4.801204681396484;-5.243777275085449,-0.60638427734375;-0.05198955535888672;-3.036044120788574;-3.194931983947754;-7.24375581741333;-0.23651885986328125;-0.08055782318115234;-0.04514884948730469;-2.969493865966797;-0.08085250854492188,-0.2010955810546875;-0.28575897216796875;-0.82977294921875;-3.550830841064453;-10.17032241821289;-0.09558868408203125;-0.02182769775390625;-0.0361480712890625;-0.39923095703125;-0.140167236328125
He is quiet means that he is quiet.,quiet-restless,n,pp,n,mf,0.0;-3.1556758880615234;-8.424776077270508;-12.732452392578125;-1.5549516677856445;-0.6802043914794922;-1.1606674194335938;-3.9958510398864746;-1.7776384353637695,0.0;-5.315481185913086;-3.8943796157836914;-8.354310989379883;-6.825370788574219;-6.451019287109375;-5.820690155029297;-4.228532791137695;-7.126635551452637,-1.6051921844482422;-2.619853973388672;-0.7819948196411133;-8.136600494384766;-0.47295188903808594;-0.5372467041015625;-0.0690765380859375;-2.320650100708008;-0.08832740783691406,-0.4605865478515625;-1.2311134338378906;-1.5847358703613281;-8.023784637451172;-0.08460235595703125;-0.3485870361328125;-0.11060333251953125;-3.58428955078125;-0.12522125244140625
He is restless means that he is restless.,quiet-restless,n,mm,n,mf,0.0;-3.1556758880615234;-11.135445594787598;-12.826828002929688;-1.2720527648925781;-0.37076282501220703;-0.9734172821044922;-2.1189279556274414;-2.1886472702026367,0.0;-5.916332244873047;-9.638594627380371;-10.176846504211426;-4.479626655578613;-7.739988327026367;-6.285083770751953;-11.382213592529297;-4.288100242614746,-0.8250360488891602;-0.7055854797363281;-0.9780492782592773;-4.802476406097412;-0.34577083587646484;-0.35747337341308594;-0.11029720306396484;-1.3580150604248047;-0.09837913513183594,-1.0682449340820312;-0.8513412475585938;-1.2299766540527344;-8.850093841552734;-0.09287261962890625;-0.3182525634765625;-0.15044403076171875;-1.4430427551269531;-0.11147308349609375
He is quiet means that he is restless.,quiet-restless,n,pm,n,mf,0.0;-3.1556758880615234;-8.424776077270508;-12.732452392578125;-1.5549516677856445;-0.6802043914794922;-1.1606674194335938;-9.658990859985352;-1.3458499908447266,0.0;-6.152676582336426;-4.243124008178711;-8.496196746826172;-8.27518081665039;-8.363069534301758;-6.672764778137207;-12.11482048034668;-6.774688720703125,-0.8835000991821289;-5.75803279876709;-4.358071327209473;-6.159206390380859;-0.1283731460571289;-0.012037277221679688;-0.1309957504272461;-6.212430477142334;-0.028621673583984375,-0.6653213500976562;-1.6105384826660156;-7.2034149169921875;-8.183704376220703;-0.0372314453125;-0.0354156494140625;-0.05995941162109375;-7.397357940673828;-0.0656280517578125
